respondent,bususefrequency,age,gender,bicycleuse,bikeuse,caruse,bususe,walking,BT1,BT2,BT3,BT4,BT5,BT6,BT7,BD1,BD2,BD3,BD4,BCM1,BCM2,BCM3,BCM4,BTER1,BTER2,BTER3,BTER4,BTER5,EMP1,EMP2,EMP3,EMP4,EMP5,CS1,CS2,CS3,PV1,PV2,PV3,WOM1,WOM2,WOM3,EP1,EP2,EP3,EP4,SQcomparison,LS1,LS2,LS3,LS4,LS5,weather
175,4,19,0,5,1,5,5,5,7,7,7,4,4,7,7,5,7,7,5,5,5,5,5,4,5,3,5,4,7,5,4,5,7,5,6,6,5,7,7,7,7,7,5,7,6,6,2,4,4,4,4,4,January
176,1,21,1,1,1,3,1,5,4,5,3,5,6,6,4,6,5,5,5,6,3,4,4,5,6,4,5,5,5,5,5,4,4,7,6,7,5,3,2,5,5,3,5,5,5,5,3,5,5,6,6,2,January
177,1,20,0,4,2,2,1,2,5,5,6,6,4,5,5,6,6,6,6,5,3,4,6,3,5,3,4,3,3,4,4,5,4,4,4,5,4,4,4,4,6,5,5,5,5,5,3,5,6,6,6,6,January
178,4,21,0,1,1,1,5,5,7,4,6,4,2,4,5,4,5,4,3,7,2,4,4,2,7,2,7,5,6,7,6,3,3,6,5,5,5,5,4,5,5,5,7,7,5,7,3,7,7,7,7,7,January
179,1,19,1,1,1,1,1,5,5,3,3,4,3,4,4,5,5,4,4,5,4,4,4,4,5,2,4,5,4,5,3,4,3,4,4,2,3,3,3,2,4,2,5,4,5,5,2,3,3,3,4,4,January
180,2,19,1,3,1,1,4,5,6,5,5,6,5,7,7,6,7,6,7,7,7,7,7,4,6,6,6,6,5,7,7,6,6,7,6,7,5,4,7,6,7,7,7,7,7,7,3,6,6,7,7,7,January
181,2,20,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,3,2,3,3,3,2,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,January
182,4,23,0,4,1,1,5,4,4,5,4,6,1,5,6,5,5,4,3,6,3,3,4,5,6,2,4,6,5,5,4,3,6,6,6,6,5,5,5,4,4,4,5,5,6,5,3,5,6,7,6,7,January
183,4,19,0,1,1,4,5,4,7,7,2,7,5,7,7,7,6,7,7,7,7,3,7,5,5,1,7,3,4,3,3,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,3,5,5,6,2,6,January
184,4,19,1,1,1,4,5,4,2,6,3,6,5,6,7,7,6,6,4,5,4,6,5,5,7,3,5,5,6,6,7,6,6,6,4,5,2,1,3,3,4,3,3,5,4,5,3,6,6,6,7,6,January
185,4,21,1,1,1,1,5,4,7,7,6,6,7,7,7,6,6,6,6,7,6,6,6,5,6,5,6,4,5,6,4,5,2,5,5,6,6,6,6,6,6,6,7,7,7,7,3,6,6,7,7,6,January
186,4,19,1,1,1,4,4,3,6,4,2,4,4,6,5,5,6,5,4,6,6,6,5,6,5,3,5,4,5,3,4,4,6,5,6,5,5,6,6,5,5,5,5,5,5,5,3,5,5,4,4,5,January
187,4,21,0,1,3,4,4,2,5,5,3,2,5,7,7,5,6,6,7,7,7,6,5,6,5,5,6,6,6,5,5,5,4,5,5,5,5,5,4,4,6,4,4,5,5,5,2,6,6,7,6,5,January
188,1,20,0,5,1,1,2,2,6,6,5,5,4,6,6,6,7,4,4,6,4,2,3,2,5,5,6,3,5,6,2,2,5,6,6,6,6,5,1,3,5,1,7,6,7,2,3,6,6,7,7,6,January
189,1,20,0,1,1,5,2,5,5,5,6,5,6,5,6,7,7,6,6,6,5,5,5,6,6,5,6,7,6,6,4,4,4,7,5,4,6,5,5,5,6,6,4,4,6,4,2,5,6,6,6,6,January
190,4,27,0,2,1,1,5,4,6,6,5,5,5,6,6,4,5,5,5,5,5,5,5,5,7,5,5,7,4,7,5,5,3,5,5,5,5,5,4,5,5,5,7,7,6,7,3,5,6,7,6,6,January
191,1,19,1,1,1,1,2,5,4,5,5,4,5,2,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,3,4,4,5,4,4,4,4,3,4,4,5,5,5,January
192,2,23,1,1,1,5,5,3,4,3,6,4,4,5,6,5,6,5,4,6,4,4,4,3,4,5,4,6,5,5,6,5,3,4,4,3,3,3,3,2,3,1,5,4,4,4,2,2,2,2,2,6,January
193,4,21,1,2,1,3,5,3,4,3,3,3,4,4,4,4,4,2,4,7,4,3,3,3,3,4,2,5,4,4,4,4,3,3,4,4,3,4,4,2,2,2,4,4,4,4,3,3,3,4,4,3,January
194,4,20,0,1,1,3,3,3,6,7,7,7,7,7,7,7,7,7,7,4,5,6,7,7,7,1,4,7,6,4,3,4,4,5,5,5,5,5,5,5,5,4,7,7,7,7,3,6,6,6,6,6,January
195,4,19,1,1,1,1,5,5,5,6,6,7,6,7,6,7,7,7,5,6,6,3,3,4,7,2,6,5,6,6,4,4,6,6,6,6,4,4,7,6,4,7,7,6,6,6,3,5,6,6,6,6,January
196,4,19,1,1,1,3,5,4,6,7,4,7,7,7,4,6,6,7,7,7,7,3,7,2,3,1,6,4,3,3,2,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,3,4,6,6,7,5,January
197,1,19,1,1,1,4,2,3,5,5,6,6,6,7,7,7,6,4,5,7,6,6,6,6,7,5,5,5,6,6,6,6,6,4,4,4,3,3,2,4,4,4,7,6,6,6,3,5,5,5,5,5,January
198,4,20,1,1,1,2,5,5,5,4,4,4,5,5,7,6,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,2,5,5,5,5,5,January
199,4,22,1,2,1,2,5,5,5,5,4,5,5,4,4,3,3,4,3,6,5,5,4,3,5,2,5,2,4,3,7,5,4,3,3,3,6,5,4,2,4,4,4,3,3,3,2,4,4,5,6,3,January
200,1,20,0,1,5,5,1,1,3,4,3,4,5,3,5,3,5,4,4,4,4,3,4,4,5,4,5,4,4,4,3,6,4,5,5,4,4,4,2,2,4,2,5,3,4,3,3,6,6,6,7,5,January
201,1,21,1,5,1,1,2,5,4,4,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,1,4,4,2,2,2,2,2,2,2,2,3,2,3,2,2,2,5,5,5,5,4,January
202,3,21,1,1,1,3,2,2,3,2,2,2,3,5,5,3,3,3,4,5,4,3,3,4,4,3,2,4,3,4,3,3,4,4,3,3,3,3,5,3,4,3,4,4,4,4,2,3,4,4,3,5,January
203,1,20,0,4,1,2,2,3,4,2,3,4,4,3,4,6,6,6,6,6,4,4,5,3,4,4,5,4,3,5,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,2,5,5,5,5,4,January
204,4,19,1,2,1,1,5,5,5,5,5,5,5,4,4,4,4,6,4,4,4,4,4,5,7,5,5,5,7,6,5,5,4,3,6,6,5,5,5,6,5,5,6,6,6,6,3,5,5,5,5,4,January
205,1,20,0,3,1,4,2,5,5,5,4,4,5,5,5,5,5,5,5,6,5,5,5,6,7,4,7,6,6,6,5,4,5,5,5,6,5,4,7,4,6,5,6,6,5,5,2,5,5,5,5,5,January
206,3,21,1,2,1,1,3,3,4,4,3,4,5,5,6,5,4,5,4,3,2,3,4,5,5,3,4,6,6,6,4,3,4,4,6,5,3,4,5,3,3,3,6,5,4,6,3,6,6,6,5,4,January
207,4,22,1,2,1,1,4,5,5,5,6,5,4,6,3,4,3,2,4,1,4,2,3,4,6,1,3,3,1,3,2,1,2,5,5,5,2,1,2,2,4,4,4,4,7,5,3,3,3,5,5,3,January
208,4,26,1,2,1,1,5,1,7,4,6,4,3,7,7,2,7,3,5,6,7,4,5,5,6,6,7,6,2,5,2,5,3,2,3,2,3,3,6,2,4,4,5,5,5,5,2,6,5,7,7,7,January
209,1,22,0,1,1,4,1,3,5,3,6,2,3,5,6,5,4,3,4,4,4,4,4,2,6,5,6,4,4,3,3,2,4,5,5,5,1,1,1,3,5,3,6,6,6,4,2,4,5,4,3,2,January
210,4,19,1,2,1,1,5,5,6,5,3,4,3,6,6,2,4,3,4,7,4,4,4,4,6,3,5,6,3,6,1,4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,3,6,6,6,6,4,January
211,1,21,1,1,1,5,1,2,6,5,6,6,6,6,6,6,6,4,5,6,6,5,5,3,5,5,5,6,5,5,5,5,5,4,4,4,4,4,4,4,5,5,6,6,6,6,3,6,4,5,7,5,January
212,4,19,0,1,1,1,5,4,3,6,4,7,3,7,7,5,6,6,7,3,3,4,5,6,6,5,6,5,3,6,6,2,5,6,6,6,7,7,7,6,7,6,7,7,7,5,2,4,4,4,5,7,January
213,1,27,1,1,1,5,3,2,4,5,5,5,3,5,5,5,4,5,4,5,4,4,4,1,7,4,3,4,3,4,2,4,4,3,3,4,7,7,7,6,7,7,4,4,6,3,2,5,5,5,4,5,January
214,4,23,1,2,1,1,5,4,6,6,6,5,6,6,7,4,5,4,6,5,4,5,5,4,4,6,4,5,4,5,4,4,4,5,4,4,5,4,4,4,5,5,5,5,5,5,2,4,4,4,5,5,January
215,1,21,1,4,1,4,2,5,6,5,7,5,6,4,6,4,6,6,5,7,5,5,4,3,5,2,5,6,1,4,4,3,6,7,7,5,4,3,2,2,4,2,7,7,7,7,3,6,7,7,7,2,January
